text,category,label,proportionEnglish
Oh my god it s rajini for you,Mixed_feelings ,1,0.875
0 52 thala looka apdiyae vechurkaru pa Without audio la paata thalaikum ivrukkum vityasam teriyathu,Positive ,2,0.26666666666666666
Dai yaaru da antha 36k apadi enna da enga thala mela ungaluku Gaandu,Positive ,2,0.23076923076923078
Love u thalaivaaaaaaa avangala aarani Anastasia s Alabama and Anastasia s,Mixed_feelings ,1,0.45454545454545453
Iam sk fan aanaa trailer semma,Positive ,2,0.3333333333333333
Wow padam tharu mara iruka poguthu This pongal petta diwali,Positive ,2,0.2
Sema mass marana mass tha i love rajini,Positive ,2,0.625
800k likes varavareku nanu thungamatte nenaikiravage like podunge,Positive ,2,0.125
Damn im a proud Chiyaan vikram fan,Positive ,2,0.42857142857142855
Enna panna porom sweet sapda porom,Positive ,2,0.16666666666666666
entha kannada naiyai ennum tamilnattil erunthu anupalaiya,Negative ,0,0.0
Vaa thalaiva via diwali mass ur movie bikil out,Positive ,2,0.5555555555555556
Veralevel performer Dhanush sir,Positive ,2,0.75
No means no entha dialogue thalaya thavara yaru sonna nallairukumnu tharayala,Positive ,2,0.2727272727272727
Super akshay sir i love u sir,Positive ,2,0.8571428571428571
Looks like he will SET SCREEN ON FIRE,Positive ,2,0.875
It s pink with ajith Kumar ka chutiyapa,Positive ,2,0.625
Rmba sandhosama irukku Thala ipdi suspense movie la nadichadhu and rlz kaga waiting,Positive ,2,0.38461538461538464
Villaina mass aa kattallayea So sad Villain mass aa iruntha thaa movie mass aa irukkum,Positive ,2,0.6666666666666666
Trailer vera level athana Da aamai kunjugala,Positive ,2,0.5714285714285714
Yenda padathoda ottumoththa kadhaiyayum idhudhan nu potu kaatra mariya da trailer pannuveenga,Mixed_feelings ,1,0.25
Nambakita kadu iruntha vangikuvanunga kasu iruntha puduingikuvanunga padipa Mattum pudungavey mudiyathu chidambaram,Positive ,2,0.0
1 20 to 2 29 marana massssss,Positive ,2,0.14285714285714285
No 1 trending yellarum idha thana ketutu irundhinga,Positive ,2,0.25
Dhanush fans hit like here,Positive ,2,0.8
E adicha copy da ithu ellam avan seyal movie,Negative ,0,0.4444444444444444
Like so much Thala from AP PawanKalyan Anna fans,Positive ,2,0.5555555555555556
Yellaam super but nawazudin voice mattum nalla illa,Mixed_feelings ,1,0.375
Wow I love you Thalaivaaaaaa,Positive ,2,0.8
Thala Kola waiting eppo yaa release panna poringa,Positive ,2,0.375
Vaalum theivam ajith Kumar Manitha kadavul ajith Kumar Sokka thangam ajith Kumar En uyirai kaakum ajith Kumar Ulaga uthaman ajith Kumar,Positive ,2,0.047619047619047616
Ethukku ethellam Vvs rajini murugan mari comedy movie pathuttu Entha movie pakka mudiuma,Mixed_feelings ,1,0.23076923076923078
Comment box pakka vantha like podunga,Positive ,2,0.5
Thalaivar varuvaru sure aa adippaaru,Mixed_feelings ,1,0.4
Who else are here after Sarkar movie,Mixed_feelings ,1,1.0
Dialogues ah illama mass scenes la pesirukalaam,Positive ,2,0.42857142857142855
Pongal namalukku super collection ma,Positive ,2,0.6
Ennada pittalatama irruku views 51k but likes 99k va,Mixed_feelings ,1,0.1111111111111111
Thalaivaaaa ippa Enna panna porom Sweet sapda porom,Positive ,2,0.125
Yuvan bgm kola mass thalaiva marana waiting for valimai,Positive ,2,0.4444444444444444
Thalaivar ku ennum vaisae agala Sema,Positive ,2,0.0
Kaithi blockbuster movie Bigil Abhi tak hit bhi nhi huvi,Positive ,2,0.3
Ippa enna panna poram sweet sapada porom super awesome,Positive ,2,0.3333333333333333
Thala U1 Yuvan Shankar Raja Mass,Positive ,2,0.3333333333333333
Shakthiman fans kill the like button,Positive ,2,0.6666666666666666
1 53 Ant Man ah pottu Hope pottu polakra adhe smack,Mixed_feelings ,1,0.45454545454545453
Screen Presence la ungala adichukka vera evanum illa Thala,Mixed_feelings ,1,0.4444444444444444
Vera level movie vasool NKP,Positive ,2,0.6
Vera level acting thalaivar Mass s pakka mass sry petta masssss SSS,Mixed_feelings ,1,0.5
Sahoo 12 million nkp innu 9 million tha rolling on the floor laughing rolling on the floor laughing,Positive ,2,0.7222222222222222
Senseless movie just video game,Mixed_feelings ,1,1.0
Thala fans saarbaaga motion poster vendum adhe,Positive ,2,0.2857142857142857
Rajinikanth sir is my favorite Hero says ARR,Negative ,0,0.625
Kadaram Kondan vs Saaho I m waiting,Negative ,0,0.42857142857142855
0 35 0 55 sec wowwwww,Positive ,2,0.16666666666666666
Last dialogue suit for all fans,Positive ,2,0.8333333333333334
Thala fans hit like me,Positive ,2,0.6
Edho sadhi nadakudhu pa inum trending la varala,Negative ,0,0.25
Kalaila enthirucha udane thala ah paaka vathavanga oru like ah podunga,Positive ,2,0.2727272727272727
Shankar sir next film vijay and katrina kaif and perya herova villain ah pana veinga,Mixed_feelings ,1,0.4666666666666667
Dai bahubali 1 2 Kelambu kelambu,Mixed_feelings ,1,0.0
PINK Bollywood But Like Ajit kumar,Positive ,2,0.5
Comedy ya erukku ithukku billa pandi ok,Negative ,0,0.42857142857142855
Vs anna semma hugging face hugging face epavum pola neega vera level,Positive ,2,0.5833333333333334
Kk chiyan vikram in kadaram kondan best wishes,Positive ,2,0.25
1 34 Enna paarva da idhu goosebumps guaranteed,Positive ,2,0.125
Marana marana marana Sirapana tharamaana padam hugging face hugging face,Positive ,2,0.4
Thala look sema mass nu soldravanga mattum oru like podunga,Positive ,2,0.4
Vanthathu vanthuteenga thala fans ellarum like potutu ponga,Positive ,2,0.25
enada pandey news ah vittutu cinema la nadikuran,Positive ,2,0.5
Ena da bgm ithu yuvannnnnnnnnn rocksssssss,Positive ,2,0.16666666666666666
1st like Vijay Fanss Hit Likes,Positive ,2,0.3333333333333333
Ex police cop become a prisoner,Mixed_feelings ,1,1.0
Trailer late ah parthu miss pannavanga Ippo happy ah,Positive ,2,0.6666666666666666
Nazawuddin Siddiqui in pettai tharamana mudivu,Positive ,2,0.16666666666666666
Oru pakkam bigil Bigil anil kunjugalin alaparaikal,Negative ,0,0.14285714285714285
Super yaru nu keta chinna kulandhai um solum Maestro of Style,Positive ,2,0.7272727272727273
Dhanush Indha padathula ethana pera vetunarunu yarachum therinja solunga,Positive ,2,0.1111111111111111
Vijay sethupathi fans hit like here,Positive ,2,0.5
Aiyo enaku ipave thalaya padathula pakanumnu eruku,Positive ,2,0.0
THALAAAA U1 again ROCK,Positive ,2,0.5
Petta telugu la illea missing in tollywood,Positive ,2,0.42857142857142855
Telugu Thala fan s hit likes,Positive ,2,0.5
Ennada 10M views ku 5th day laye ivlo mukkudhu nu solra bot anil p pasangala No bots no Visay,Negative ,0,0.3684210526315789
akshay kumar as shiva kumar,Positive ,2,0.2
Siripu vantha oru like podunga,Mixed_feelings ,1,0.2
Teaser la iruntha yedho onnu trailer la missing Aana ithuvum nalla than irukku,Negative ,0,0.46153846153846156
rolling on the floor laughing rolling on the floor laughing Maran waiting la panavendam poi saavunga Ajith fans,Positive ,2,0.7222222222222222
Dhanush fans sarbaga padam vetri adiya valthukal,Positive ,2,0.14285714285714285
Sweet sappuda porom Sweet saputtu apdiye ethavthu karama Viswasam sappuduvom,Positive ,2,0.2
Pazhaya Rajinikanth ah paatha feeling pa,Positive ,2,0.5
Maranam mass uh maranam Petta Athukku avar thaa poranthu varanum Thalaivar,Mixed_feelings ,1,0.09090909090909091
neraya neraya neraya neraya neraya what a performance voice Vera level,Positive ,2,0.5454545454545454
Ithan diwali fight semme kartik story value va hero value r nu,Positive ,2,0.5833333333333334
Dhanush fans oru like potutu ponga,Positive ,2,0.5
Pink But like for Ajith,Positive ,2,0.8
Beginning of satyayuga end of kaliyuga,Positive ,2,0.6666666666666666
Dhanush sir ku Ella get up um set aagudhu,Positive ,2,0.6666666666666666
Inimal Sun Networkla Petta promo poda start panniduvaanga,Positive ,2,0.25
neraya neraya neraya neraya neraya what a powerful voice,Positive ,2,0.4444444444444444
thala dye adikkam irukanaalathan naama nimathiya irukkamudiythu thala takkarudoi,Positive ,2,0.1111111111111111
Krish movie mask mathiri erukku pa,Positive ,2,0.5
Chiyaan vikram sir vera 11,Positive ,2,0.4
Ethe maari ennamo Padam pathaa maatiye eruke thinking face thinking face,Positive ,2,0.36363636363636365
thala thanta thalaiya minja evanta,Positive ,2,0.0
2 0 late a vanthalu latest a vanthurukku,Positive ,2,0.5
Thatha ku jodiya paatis Padam nalla irrukum pola,Mixed_feelings ,1,0.0
1999 padappa vali now 2019 petta viswasam,Mixed_feelings ,1,0.2857142857142857
Bigil satham ketta ella kaithiyum amaithithan,Negative ,0,0.0
Confirm 1M likes varumnu soldravange like podunge machanzz,Positive ,2,0.25
Happy new year Thalaivar padam mass kata pothu,Positive ,2,0.5
Thala Vera Level Maas U1 Bgm Ultimate,Positive ,2,0.42857142857142855
Yenda thala enga thala ya vada dislike panni irukkenga,Mixed_feelings ,1,0.2222222222222222
Dai youtube trending la podu da,Negative ,0,0.3333333333333333
sam c s vera level ya un bgm,Positive ,2,0.875
Thala vera level n yuvan bgm semmeee,Positive ,2,0.42857142857142855
Thala endru sollada thalai nimirndhu nillada vanthudaruda en Thala ippa vangada kena,Positive ,2,0.08333333333333333
Are u a virgin girls Kani kazhiyama irukingala,Mixed_feelings ,1,0.5
Thalaivaa Thalaivaa Thalaivaa Thalaivaa Thalaivaa Thalaivaa Thalaivaa Thalaivaa Thalaivaa Thalaivaa,Positive ,2,0.0
All the best Karthi and Lokesh kanakaraaj,Negative ,0,0.5714285714285714
Romba naaluku Aparam thalaivar Sema massa pakurom Get rajinified,Positive ,2,0.2222222222222222
Indha aala ennadhan veruthaalum On screenla paakka solla indha aalu style la vilundarom,Mixed_feelings ,1,0.23076923076923078
Enna Mari veetuku Theriyama ippa trailer parkuravanga Yaravadhu irukeengala,Positive ,2,0.1111111111111111
Mavena edhavadhu haters irundha odi poiru kola kandula irukkaen padam paakama vidamataen,Negative ,0,0.08333333333333333
Elam girls um trailer ah patha maari movie ya kandipaa parungaa,Positive ,2,0.45454545454545453
3ena da 300 spartan s BGm la varuthu,Mixed_feelings ,1,0.375
I am Kamal Sir Fanzz but i like 2 0 trailer waiting fr 2 0 Movie,Mixed_feelings ,1,0.5625
Vetrimaran ithai thavira vera ethuvum theriyatha ora mathiri padam,Mixed_feelings ,1,0.2222222222222222
Viswasam Teaser vartum Nama Side la Irnthu Oru Sambavam Panuvom,Positive ,2,0.3
Intha padatha pathe aakanum Thalaivaa aaaaaa,Positive ,2,0.0
Kris s movie pola irukkunu yaarukkavadu feel aahircha,Positive ,2,0.375
Viswasam trailer 7k like 1 4 m like thala fans like tha trailer,Negative ,0,0.5384615384615384
Ada dei nama sambatha da dei,Positive ,2,0.16666666666666666
Nvp voda recorda break pannanum solravanga like pannunga,Mixed_feelings ,1,0.25
Movie pathutan semma mass a irukku music la vera leval,Positive ,2,0.6
Marana mass thala I am waiting lion face lion face,Positive ,2,0.8
Intha Padathula Gethu Mass Kaatra Thalaya nadikala Intha Padathula Intha Naatoda Indraiya Unmaiya Solra Ajith Kumar ah nadichirkaaru StopWomenAbuse,Positive ,2,0.10526315789473684
Vayase aagala pa ena effort chanceless call me hand call me hand,Positive ,2,0.75
Thala yada dialogue delivery sema mass Vera level goosebumps overloaded,Positive ,2,0.5
Gommala vararuda ye thalaivar ippavea alluthuparu palapearuku parupuuu,Positive ,2,0.125
Vaera level thala summa na podathiga mokka seenu eppa NAERKONDA PARVAI is coming soon,Positive ,2,0.35714285714285715
Vayasanalum unga style azhagum innum marala Thalaiva roxkzzzzzz,Positive ,2,0.125
Matha actor la Vera level na Niii top level Thalaivaaa,Positive ,2,0.7
Enna panna porom sweet sapda porom petta paraak,Positive ,2,0.125
Dislike Pota Ealarum Lusu zipper mouth face zipper mouth face,Negative ,0,0.7
Vena padama release pannathinga pakka mudiyala,Positive ,2,0.16666666666666666
Thala bloods ellaarum oru like podunga,Positive ,2,0.16666666666666666
Real Rajnikant or dupe Amazingly young,Mixed_feelings ,1,0.8333333333333334
DEEPAVALI KU vera level Padam irukku Pakka KAITHI DEEPAVALI,Positive ,2,0.2222222222222222
aiyo thala marana mass thala love you so much thala,Positive ,2,0.5
Thla da U1 bgm,Positive ,2,0.25
Intha padampothu thalaya asaikka kooda mudiyathu,Positive ,2,0.0
NKP 30 million views varum solravaga thala fans hit like button 2million like,Positive ,2,0.38461538461538464
Inga neraya arivalikalukku teaserkum trailer kum different theriyama vaitherichala koovitu irukkanga,Mixed_feelings ,1,0.18181818181818182
Super super super super star rajini sri good,Positive ,2,0.875
Mind blowing Ipo paarunga therikka vitudalam,Negative ,0,0.3333333333333333
Idhupola vetradhu kuthradhulam pls kaamikadhinga screen la padatha paathuthaan paadhi samudhayam kedudhu all the best for the team,Mixed_feelings ,1,0.4444444444444444
Semma thala nee vera level nee onnaya paratta vaarthaiye illa fantastic thala,Positive ,2,0.4166666666666667
king of kollywood one only Thala Thala Thala Thala Thala Thala Thala,Positive ,2,0.3333333333333333
Marana masss thalaiva Hollywood deractor la vaya polaka poranugga,Mixed_feelings ,1,0.1111111111111111
Thala mass But court room perusa irundhurkalam,Positive ,2,0.5714285714285714
Idhu padam da ommla enna padam da i saw 2 shows back to back vera level,Negative ,0,0.5625
Pakkaaa message pola Thalaivaaa we are waiting,Positive ,2,0.5714285714285714
Tamil nadimarke oru puthiya velluvilliakkumooo manju chechiudea puthiya entry,Positive ,2,0.1111111111111111
Nammaku tevaiyanada namma taan adichi vaanganum Padipa mattum nammakitta irundu edutuka mudiyathu,Positive ,2,0.0
Ennayya namma makkal selvan padam trailerkke oru full thalapathy movie paatha alavukk appadiye silirpp kottuth,Positive ,2,0.13333333333333333
Last dailog ப ுரிஞ்சா inga like podunga,Positive ,2,0.2857142857142857
Super star is super star v v v v v v v v v v v v v v v v v v v v v v v v v v v v v v v v v nice trailer I really love it,Negative ,0,1.0
1st unga thalaivara age ku thaguntha mathiri natikka sollunga appuram vijay ajith pathi peasalam,Negative ,0,0.07142857142857142
Naanum thalavar rasigan than enakku Akshaya Kumar performance than pudichi irukku thalavara dummy ah aakitanaga ama vai illa ya,Negative ,0,0.3684210526315789
Vera Level SK Bro Keep Going Huge,Positive ,2,0.7142857142857143
Oruthar mela viswasatha katrathuku innorthara yen asinga paduthuringa,Positive ,2,0.25
last dialague semma rasikanuku advice pannitaru thala super thala,Positive ,2,0.3333333333333333
Super pa Thalapadhy rasigar saarba vaalthukal,Positive ,2,0.3333333333333333
Thala Ena Thala ketta mass ah irukiyae,Positive ,2,0.2857142857142857
Thambi naanga 19 hourslaya 11M neenga yaaru da komali,Mixed_feelings ,1,0.1111111111111111
Appo Kabalieee Na Nerupuda Eppo robot na chitti 2 O version,Positive ,2,0.45454545454545453
Waiting 1m likes and 15m views,Positive ,2,0.3333333333333333
Vayasu analum unga style um alagum innum ungala vitu pogala old time rajni ah pakaramariye iruku,Positive ,2,0.3125
Ada aamaigala 1m like kooda varlaya aamai Ajith,Mixed_feelings ,1,0.125
Realy trailer marana massa iruku iam waiting petta,Negative ,0,0.375
You re line line line ithu mari Neriya Neriya Neriya Neriya padatthula irukum pola iam waiting,Positive ,2,0.375
Simion sir enga irrukinga Sekiram vanga,Positive ,2,0.16666666666666666
Wow 10 millóns views,Positive ,2,0.25
Back to Back Super blockbuster Movies First 2 0 then Petta Rajnikanth is just Amaaaaaaazing,Positive ,2,0.6
எத ்தன HATTERS dislike pannunalum asuran movie kku award confirm by PURE DHANUSH ANNA FAN,Positive ,2,0.6
Dislike pannravan ratham kakkai saavan rolling on the floor laughing rolling on the floor laughing,Positive ,2,0.7333333333333333
தல i am waiting for nerkoonda paarvai,Positive ,2,0.5714285714285714
Vijay vera vera vera vetakaran taan da venumm Ajith nerya nerya nerya nerya nerya,Positive ,2,0.2857142857142857
Thala pathi thappaa cmnt panura kuchikari movanlaam odirunga,Negative ,0,0.0
Dislike panavan oruthanuku poruthuruka maatan poogada,Positive ,2,0.16666666666666666
Dei kadisiya style dance ah parunga da Ayyo sema Thalaiva cuteness charisma fight sequel banged comeback,Positive ,2,0.5625
Shaktiman madri next comedy punda aga poren sakadai kelavan,Negative ,0,0.3333333333333333
Thalaya screen LA parka Yarellam Marana waiting comment pannunga thala rathangale ‍‍‍‍‍‍‍,Positive ,2,0.4166666666666667
Vada Chennai jaygiromo illayo motha sanda seiyanum Asuran namaku theva yanatha nambha tha adichi vanganum,Positive ,2,0.06666666666666667
Entha trailer best nu Pakalam Like Asuran Cmnt Kaapan,Positive ,2,0.4444444444444444
Comments parka vandha padika vandha nanba nanbigal like pannitu pooga,Positive ,2,0.2
Thala thaan eppavume ennudaya role maadal,Positive ,2,0.16666666666666666
38 it s SuperStar Rajini not Rajni Spelling mistake,Positive ,2,0.5555555555555556
Remake of pink movie ah Apdiye eduthurukeenga Oru dialogue kooda maarama But fight scene extra va,Positive ,2,0.625
Neraya neraya neraya atha yarkanave nerachi poitha iruku inum yathuku kaekura iva mutta punda,Negative ,0,0.07142857142857142
Eduthu vainga Da adutha Oscar ah ASURAN Ku,Positive ,2,0.25
I miss you ishwarya rai madam,Mixed_feelings ,1,0.6666666666666666
Mass Dhanush manju vetri,Positive ,2,0.5
Thalaivaaaaaaa Ungaluku vayase aaakathu Nee mattum thaa Thlaiva mass Massuke Boss,Positive ,2,0.2727272727272727
THALA 6O ku aavathu atleast pre announcement pannunga,Positive ,2,0.125
Aptilam nadakkathu nadakka kudathu fire on eyes thala,Positive ,2,0.25
Amam eppa puthu trailer poduvingo 1960 mgr kala thu padama Re release panna poran gala,Negative ,0,0.3333333333333333
Oruthar mela viswasam kaatradhukaga aduthavangala edhuku asinga paduthuringa sema thala love from thalapathy fanzzzzz,Positive ,2,0.21428571428571427
Kaithi ye evlo mass ah iruku na Thalapathy 64,Positive ,2,0.4444444444444444
adra sakka thalaivaa marana mass adi thool Petta Pongal Petta Parrakk,Mixed_feelings ,1,0.09090909090909091
Maranam Mass Uh maranam Tough Tharanum Athukku Avan Thaaan poranthu Varanum,Positive ,2,0.18181818181818182
1 55 for some THALA THALAPATHY fans,Positive ,2,0.2857142857142857
Please make thalapathy 64 like kaithi visuals,Positive ,2,0.42857142857142855
Nothing to say just goosebumps thalarasigai,Positive ,2,0.6666666666666666
Mass mass nu soli pavam fight ill lathe padathu la kuda fight varawaychitaga,Positive ,2,0.6923076923076923
1 38 to 1 50 yenna swag pa thala Thala pola varuma FDFS from Karnataka,Positive ,2,0.26666666666666666
Enada tamil cinema eduka sonna Hollywood cinema eduthu vachirkinga,Positive ,2,0.2222222222222222
Saavaratha irunthalum sanda pottu saaganum bayanthu kaalla vizhunthu saaga kudathu Tharam,Positive ,2,0.0
Sethu anna Voice Thalaivar Entry Kolla Gaandu la irukan Epo varum oh nu,Positive ,2,0.46153846153846156
Marana mass thalaiva Ungalukku innu vayasu agale,Positive ,2,0.14285714285714285
Intha padam kantippa win pannum but rajinikaga illa Shankar kaga avaroda talent kaga,Positive ,2,0.3076923076923077
Oru oru scenum goosebumps ahh iruku petta parak the horns sign of the horns the horns sign of the horns like podunga trailer pathu goosebumps anuvanga,Positive ,2,0.38461538461538464
NerKondaPaarvai superb Thala pesura yella dialogues kum avar kan simtave ella vera level acting,Positive ,2,0.35714285714285715
petta movie atta flop old man sotta boy,Negative ,0,0.75
Ena Da bomma Padam eduthu vachirukeenga,Mixed_feelings ,1,0.16666666666666666
Semma vera level Like hits,Positive ,2,0.6
pink movie in hindi final dialouge superrrr,Positive ,2,0.5714285714285714
chinna pulla thanamaala irukku graphics XD XD,Positive ,2,0.14285714285714285
Rajini sir telugu fans hit a like here Rajinified,Positive ,2,0.5555555555555556
O my God superstar Rajinikanth navajuddin siddiki vijay setupati what else needed,Positive ,2,0.4166666666666667
Marvel paruppu thanni DC uppu tamil masala kick kadugu krissh vengayam thakkali hero sambar,Positive ,2,0.2857142857142857
Bayama irukku I except more but I feel sad,Positive ,2,0.7777777777777778
TAMIL MOVIE 2 O KING IN INDIA WONDER SUPER STAR AN SANKAR S MASS MOVIE,Positive ,2,0.7333333333333333
1st day 1st show poravanga like potuttu ponga,Positive ,2,0.5
Sprb shradha srinath done a good job,Positive ,2,0.5714285714285714
Ennoda phone ah yaaralum control panna mudiyadhu Akshay Kumar ah tension aayiduvan idhu hang aguradha paathu,Mixed_feelings ,1,0.3125
Rajini kanth Fans hit like here,Positive ,2,0.5
Kola gaadula iruka Thalaivaaaaaaaa waiting layea veri aaguthey,Negative ,0,0.375
Get Ready sk Force Part 2 Part 3 Varavaipomaaaaaa,Negative ,0,0.5555555555555556
Omg use head phones Enna bgm da saami,Positive ,2,0.375
Petta uthikum visvasam hit agum,Mixed_feelings ,1,0.2
ENPT release agalanu kavala illa aurathanamana Asuran varuthu adhu pothum,Positive ,2,0.1
Those VFX Nalla illa daaaw guys Idhu trailer dhaan maa Main picture is coming 2 0,Mixed_feelings ,1,0.375
vera level thala u r rock,Positive ,2,0.8333333333333334
Lokesh kanagaraj movie naalae English Rap Song vandurum,Negative ,0,0.375
What a trailer ya vera level la iruku yow karthi subburaj pinnida ya awesome awesome,Positive ,2,0.7333333333333333
Thalada all India Thala kottai,Positive ,2,0.2
Indha Kalatholo Siva Karthikeyan Nadike Mudiyadhu,Mixed_feelings ,1,0.16666666666666666
Evano indha video ku dislike button amuka vandhurundha odiru rolling on the floor laughing rolling on the floor laughing kolaa kaandu la irukan kollama vida matan,Negative ,0,0.5384615384615384
