,text,category,label
63,vere level trailer and bgm gopi sunder musical,Positive ,2
64,Padam irangiyittu parayam mass ano class ano ennu Odiyan anubhavam kondu paranjatha,Mixed_feelings ,1
65,E masathew 28 enna date nalathekakan pattuvoooo pattillah allew wait chaiyanmm,Positive ,2
66,Jelli kettinte trailer bgm pole ind,Positive ,2
67,E traileril ntha chekutan undo,Positive ,2
68,kalakki Kalakki Onnum parayan illa,Positive ,2
69,Oru saada nalla naatin purathe kada athre ullu aenike ishtta pettu,Positive ,2
70,Vere level of making nd lalettan was awesome,Positive ,2
71,Next Week china povan irikkana njan ithu kandeche njan povathullu,Positive ,2
72,peter hein nte stunt ella cinema il um ore pattern aanallo,Mixed_feelings ,1
73,Ohoo mamooka powlikum ee jati tralier making kiduwee,Positive ,2
74,Onnum parayanilla Vere leval movie ayirikkum,Positive ,2
75,Raju ettaaaa ningal Vera level,Positive ,2
76,Ithoru onnonnara ITEM avumenn urappullavar LIKE ADI േ,Positive ,2
77,Late aayi vannalum latest aayi varuvenne,Positive ,2
78,Lokal poyi Madhura raja teaser kanada,Negative ,0
79,Oru marana mass chitramaavatte laleeta lucifer,Positive ,2
80,Kuru potti olikknna 1k poojappura fans rolling on the floor laughing rolling on the floor laughing,Negative ,0
81,adiyum bahalavumillathe swasthamayi kandirikkan pattunna oru nalla cinema,Positive ,2
82,Mohanlal prithvi fans like adik lucifer bamber hit akum,Positive ,2
83,Jayasurya mass after long time podi pooram,Positive ,2
84,Mammukka ningalau muthhaaa oru rakshayilaaa kikiduuu,Positive ,2
85,Kure per dislike adich kuru pottikkunnund,Negative ,0
86,Dislike adechath alla punnara makkalum anta veral ം,Negative ,0
87,Fight dialoge bgm oru rakshayum illa,Positive ,2
88,Ithu rajayude 3 strong Alla ettande Lucifer,Mixed_feelings ,1
89,E padathinte making ushar aanenu thonunu Trailer kanditt padam kandathokem thallipoli aayirnu But trailer pwolichu,Positive ,2
90,Samyuktha vendayirunnu Aishu pwoli ann,Negative ,0
91,Trailer erangiyilla adhinu munpe pedich thoori dislike adikunna mammunnyolikal,Negative ,0
92,Dislike adikunna mandanmar ariyunnilla ithu open akkiyal views nte ennam koodum ennu,Negative ,0
93,JAI LUCIFER JAI LALETTAN JAI PRITHWI,Positive ,2
94,Nalla punch ulla trailer mamooka Jai anusree shamna ellarkum bst of luck,Positive ,2
95,Bro support koduthilenkilum dislike adikkathirunoode,Negative ,0
96,Suraj ettan fans fans like ivide,Positive ,2
97,Eid usharakkanam Ithiri late ayalum nammal polikkum Mammukka sa,Positive ,2
98,E padam hit akum enn urapullavar like adikan ulla sthalam smiling face with 3 hearts smiling face with 3 hearts,Positive ,2
99,ee unlike adichavark oru asukam undu enthuvanan ariyamo asooya,Negative ,0
100,Ith oru onnonnara item aayrikkum,Positive ,2
101,Njan mammoty fan Ann pakshe enikk ishtapettu,Positive ,2
102,Pirates of carbien aarum kanditilananu mone ninte vicharam,Negative ,0
103,Aa thodakathile august cinemas eenu title card varumbol olla bgm Pwoli,Positive ,2
104,Ettan mass kanikkan thudangiyath innum innaleyumonnumalle makkale,Positive ,2
105,im a katta lalettan fan but ithu hit aaakanam heavy,Positive ,2
106,Katta vishayam oru rekshem illa etta fdfs,Positive ,2
107,Dislike cheyunavanoke ethu naarikal aanenavo Chathude Kidukachi trailer vanetum dislike 1 1k Kashtam preshakare,Negative ,0
108,Oru dubbing padathinte trailer pole kidu,Positive ,2
109,Myarakam ikka Hollywood direction and visuals,Positive ,2
110,Ini kando Adiude Ideude Vedi pooram firecracker firecracker,Positive ,2
111,Aa kannukal mathram mathi a character depth mansilkan laletta,Positive ,2
112,Trailer Oru rakshyum illa adi poli jayettan takarkkum,Positive ,2
113,Ee Padam Kolamavukayaanengil it will be because of Peter hein,Negative ,0
114,Movide peru kandu dislike adikaan vannatha,Positive ,2
115,Avalude name veykkunille avar lead cheyyunna film alle,Negative ,0
116,Kidu bgm for ikka kidu movie super,Positive ,2
117,MAMMOOKKAAA NIGHAL MUTHAANU Nighal kola maassalla kolaveri maasaanu,Positive ,2
118,Deleep atta padam orappu maga hit,Positive ,2
119,ee padam 8 nilayil podannamennju prarthikunnju,Negative ,0
120,Ikka i lv uuuuu big screen kandolan waitinggggg,Positive ,2
121,trailer valare cheruthayipoyi mammoottyude mukham enkilum onnu kanikkamayirunnu,Mixed_feelings ,1
122,Ayye poraaa lalettan nu role ille,Negative ,0
123,Vineethangil adu supero super chodikanundo allea vineetheaaa,Positive ,2
124,Fdfs vare wait cheyyan pattilla Ijjathi ittam Mamookka,Positive ,2
125,Owf Poli angane oru paad naal kazhinj oru Nalla cinima kanaan povnu,Positive ,2
126,Enta ponno ikka kalakum van trailer,Positive ,2
127,Entammo ikka powli powli heavy item,Positive ,2
128,Ee trailer vachaaanooo luciferinodu muttaan varunnath,Negative ,0
129,Ini aarkkum onnum parayaanillallooo Remember the Name Laleettan,Positive ,2
130,Inn ni8 full repeat adich kanan ponavar ivide like adicholu,Positive ,2
131,Adipoliii movie Suraj nta acting super ayiittodee anike othiri ishtapatuuu super movie,Positive ,2
132,Mudi valarthi lalettan pazhya rajashilpi look thannee 0 51 il super,Positive ,2
133,Moood poyi mood poyi aa sabune kandappol mood poyi,Negative ,0
134,Dislike adicha pullanmarude mugathulla adiyavatte oro likum,Negative ,0
135,2 19 Ee scene theatril polikkum Lalettta 3,Positive ,2
136,njaghalu katta waiting aanu nov 21 aavunnillallo ennoru pbm,Positive ,2
137,Vivek oberoi best villan powli star struck star struck grinning face with star eyes star struck star struck grinning face with star eyes,Positive ,2
138,Kalathu ezhunnettu ee trailer kanumbol oru unmesham kittunnudu,Positive ,2
139,Trailer oru rakshayum illa 3 vattam kandu Not the point aarudeyum fan alla,Positive ,2
140,Ambooo Roman ezunettu EPIC loading,Positive ,2
141,Powlii powlii last dialogue comedy anenkilu kidlm tyming,Positive ,2
142,Oru rakshayum illa ikka ingal yendhon manusyanaaa itihasam,Positive ,2
143,Trailernu katta wait cheythirikkunna ethra aalundu ivide,Positive ,2
144,oru rakshayum illlla orappicho muruga ninte mukalilekkk oru asuravithinte idivettu entry kathninnooo 100 crore club adichaaaaaach,Positive ,2
145,Police ill minimum hight elle Aju oke police,Negative ,0
146,Orika kanda veendum veendum kanan thonnum,Positive ,2
147,Dislike cheydha thendigalk releasin kaanich therum nangal endhan mamangam enn,Negative ,0
148,EyyaLu Nthu Manushana Oru Rakshayum Ella Kidu,Positive ,2
149,ikkante mugham illathe thanne super mugham koode kanichenkil enthavum avastha,Positive ,2
150,Rajuvetta ningal mass annu Ammoo enna oru feel Laletta,Positive ,2
151,Uff mwonr kinnam kaachya item,Positive ,2
152,madhura rajayum usharavatte from a lalettan fan,Positive ,2
153,Sambavam kollam but,Mixed_feelings ,1
154,Mamookayude padamaayalum lalettan te padamaanenkilum itoru malayalam padamaanu athorkanam nammaku Ella industrikaleyum vettichu nammade Malayalam industriye unnatangalil ethikanam,Positive ,2
155,Njan oru a10 fan aanu but ithu kollaam nammade ikka poliyaanuu all the best,Positive ,2
156,Ee padam kand chirich pandaram adangi,Positive ,2
157,Trailer kandappo oru karym manasilayi eni mammooka fans luciferine velluvilikkilla,Negative ,0
158,Hvy iteam,Positive ,2
159,Njan aashupatriyiloottu pookuvaa ullla roomamellam roomanjichu parinju pooyi baakki ulllathu pongithanna nikkuva etttan maatana maaraka maasss,Positive ,2
160,Fight vere level teateril paper kure keerendi varum ichayoooo,Positive ,2
161,Trailer vere level Anu makkale star struck star struck grinning face with star eyes star struck star struck grinning face with star eyes Mammookka uyir 21,Positive ,2
162,Ethilum valiya masSs eni ella Padam 100 crore loading,Positive ,2
163,E padathil elllavarum und but pottiyal ellam pogum Appurath Yama Dan kadha verunnund madhura raajayum Ethayalum all the best,Mixed_feelings ,1
164,Pokiri Raja nte athra odulaa ee chithram eniku thonunnu,Negative ,0
165,Gopi sunderinte teaser bgm kaliyakkiyavarkkulla marupadi koodi,Positive ,2
166,Eee oru movie ൊ mohanlal fan aakumennu ോ katta waiting,Positive ,2
167,69 years old Megastar Nammude Mammookkaa oreee poli mammookkaa,Positive ,2
168,Oru mass political family blockbuster hit aakatteyenn aashamsikkunnu,Positive ,2
169,Trailor kand 8 nilayil pottum enn thonunnu mumbathe pole tholvigal vaari kootan thudangunnu,Negative ,0
170,Vineeth sreenivasan presents,Positive ,2
171,Ikkaye kanan vendi mathram fdfs urapichavar like,Positive ,2
172,Ente ikkkaaaa kola mass YouTube hang aanu makkale,Positive ,2
173,Dislike myrolikalk ulla kandam Madhurayil orukkiyittund enn parayan paranju,Negative ,0
174,1 st day kazinju theatre bakki undayal mathiyayirunnu lalettan,Positive ,2
175,Lucifer pola nalla oru padam avatte,Positive ,2
176,Negative aayi onmilla eattn polikm,Positive ,2
177,Lastilathe punch kaanan mathram veendum vannavarundel chummathonnu njekkiyechum poike,Positive ,2
178,Pwlichu Ikkka pwlichu Hollywood cut,Positive ,2
179,Trailer erghunathinn munbb kanathe dislike adichavanmaar verum verum Feeling pucham to u all,Negative ,0
180,Ambooo Ettan kidu acting Raju Ettan poli making,Positive ,2
181,onnum parayan Ila mammokka polichu Thakarthuu star struck star struck grinning face with star eyes star struck star struck grinning face with star eyes,Positive ,2
182,Suraj ettan soubin ikka enn kelkkumbo thanne oru nalla cinema yude smell adikkunnund waiting for releasing,Positive ,2
183,Ejjati item ettan pwolikkum all the best raju etta,Positive ,2
184,Ohhh my god endhokke looks aanu onnum parayaanillaa katta waiting lalettaa,Positive ,2
185,Enthonnadei ithu pulimurugan tamil remake a rolling on the floor laughing rolling on the floor laughing,Mixed_feelings ,1
186,Thalachorilla budhiyum illatha 11k aalkkar Ninte okke thalakku ooolamanooo,Negative ,0
187,Trilar kanditt padam Valiya pratheeksha illaa,Mixed_feelings ,1
188,Wtng laletta,Mixed_feelings ,1
189,Looks like netflix series oru film aayi coloring Mach aavunnilla,Negative ,0
190,ooro secondum mmakkayude entrik vendi waiting aayirunnu,Positive ,2
191,tovinok pakaram unni mukundan mathiyarunnu,Mixed_feelings ,1
192,Soundil kurachukoodi bass koodi undayinnel kidilan,Mixed_feelings ,1
193,Lalettan faanan but ee trailer kidukki tto,Positive ,2
194,Adipoli,Positive ,2
195,Ipo 10 vattam kandu yennittum madhiyavunnilla romanjifikshan ikka,Positive ,2
196,Padam polikunna thonnunne Soubin oru pradhibasam thanne Ambili kandit oru onnonnara fana ayi njn,Positive ,2
197,Prathviraaj,Positive ,2
198,Ithu polulla padam ikkanekkonde abhinayichu kanikkan pattu,Positive ,2
199,Padam kidilan ane oru rakshayumilla pakshe ithpole padam englishilum umd Robot And Frank enn pere athum pwoliyane,Positive ,2
200,Veruthayayi kashu poyi pratheeshyode arum pokaruthe,Negative ,0
201,Super mega hit aaayirikkum mark,Positive ,2
202,Aaaa mundum pookal shirtum vere arund ithra look,Positive ,2
203,Trailer kidukki film ith pole nannaya mathiyarnnu,Positive ,2
204,Enta ponno ithu verae level Iove u ikka,Positive ,2
205,Korach adhikum award kude undakendi verum enn toonna suraajettante acting kanumbo,Positive ,2
206,Wow Maranamaas Trailer Gopi Sundar bgm oru rakshemilla ttaa Hit like if u watch FDFS,Positive ,2
207,Pulimurugam team alle athinta oru chaaya evdokkeyo ondIKKA SUPERMAN PUNCH PWLIYEE,Mixed_feelings ,1
208,Ith kidukkan aakum Eagerly waiting lub you ikkaa from eattan fan,Positive ,2
209,173k views and 173k likes bakki kore mammunni fans 18k,Negative ,0
210,Mammookaye pole dailog eathu salgilum prasant cheyyan kazhiyillannu ippo eniku manasilaayi,Negative ,0
211,Trailer kand romanjam Vanna ettan fans like adikn,Positive ,2
212,Thrissur slang paliyenn thonnunnath enikk mathramano,Negative ,0
213,Onnum parayanilla pratheshakalkkapuram nammakku asvathikkan pattiya trailer ethra pravisham kandittum mathiyaunnilla,Positive ,2
214,Kidu trailer iniyulla Kali ikkayude pilleru nokkikolam triple strongode,Positive ,2
215,Enik Albudham sidiqane aan 1kodi bajat aayalum 100 kodi bajatayalum sidiq athil Kanum Legend,Positive ,2
216,Lucifer trailer erangiya day million views vannapo sudappi makkal endho paranjarunnallo ikkede trailer onnu vannottu ennu alle ennittu bhayangara views ahnallo rolling on the floor laughing rolling on the floor laughing,Negative ,0
217,Padam pottum Charithram akanamenkil marakkar varanam,Negative ,0
218,Prithviraj Nighal oru marana mass sambavam,Positive ,2
219,Da mwone madhurajaedatreum varilla ketto nte vaka ellarkum chukavandanam,Negative ,0
220,Katta waiting madura raja mammokka kidu mass,Positive ,2
221,Ikkakk valla mass padavum cheythude ithorumaathiri senti cop,Negative ,0
222,pora,Negative ,0
223,Koora Trailer jattimaanii padam pottum 100percent lalappaaaaa,Negative ,0
224,Ente ponnnuuuuuuu Lalettaaa baaki oke kili vannit parayam,Positive ,2
225,Prithiraje than ee pani nirthiko enthon kopile padamado,Negative ,0
226,Chandhuvineyum pazhashiyekalum mukalil nilkan pokunna oru muthal chandrothe ee vellyamamma,Positive ,2
227,Maduraraja ikka okke trailer poora Pulimuraganil ninne kure cut eduthittiunde Villan dadygirija same Athe irutham,Mixed_feelings ,1
228,Cinema vizag kandu Polichu Super duper hit,Positive ,2
229,Onnpodaaa challenge inne undo 1 hour 50 k likes annn madhara rajj kalikann venda,Negative ,0
230,Poster kanditt feel good anenn karuthi kanathe vitu,Positive ,2
231,Mammootty fans polum like adichu pokum adaru trailer,Positive ,2
232,Havy havy super super kidu kidu the horns sign of the horns the horns sign of the horns,Positive ,2
233,Trailer oru rashilla kili poyi laletta poli anitta,Positive ,2
234,Adhikarappeduthunna gadikaarame Ithu gadikarangal nilakkunna nimisham Indian cinemayude mugamudhra,Positive ,2
235,Raja returnssss makkale ithu marana mass padamaayirikkum,Positive ,2
236,Oru poli polikum 21n pooram kanan chry abhinaya ang por,Positive ,2
237,endhake paranjalu nammal malayalikalude chungukal lalettanu màmmukkayum thanneyanu laletta kkimamukka kki,Positive ,2
238,Lalettante ittimanikk njanga ikkayude piller vaka best of luck,Positive ,2
239,Heavy trailer,Positive ,2
240,Ente laletta onnum parayanilla ningal mass anu ningale pole ningale ullu,Positive ,2
241,Police ne kuttam parayuna,Negative ,0
242,kidu katta waiting mamamookkaaaa,Positive ,2
243,Enter ettaaaaaaaa ohh onnum parayaan ellaaaaa,Positive ,2
244,trailer powli aayi cinemayum angane thanne aavum enn pratheekshikkunnu,Positive ,2
245,Enna bodyaa mamooty iniyum oru 10 ankathinulla balyam undu,Positive ,2
246,Njan mathram aano sunny chechiyee kaanan vannath Sunny chechi uyir,Positive ,2
247,Super trailer avasanathe idi super But BGM pulimurugan copy,Mixed_feelings ,1
248,Ikkaa nigalu mass aanu pinnem pinnem irunna kanan thonnuvaa,Positive ,2
249,Neerali,Positive ,2
250,Mammookka Nte Look Vere Level,Positive ,2
251,Etha sherikum Puli Murugan polla udaa,Mixed_feelings ,1
252,Dis like idunna mammuny fansukrude pratheka sradhkku raajaye kaathu padakkathinte mahaniya shekram staginte baakil inddu sookshicha dukkkiknda,Negative ,0
253,Muslingalk idayilum Xristhanikalk idayilum Hindukalk idayilum Ivanu ore oru pereyyllu raja,Positive ,2
254,ikka dlg delivery oru rakshayumilla love uuuhhhhh ikkaaaaa,Positive ,2
255,Nice ikka mass All th bst fan,Positive ,2
256,Dislike pottikkunnavarkk kurupottalaathi kodukkapedum ൂ,Negative ,0
257,I am waiting for,Positive ,2
258,Vishukk entha special enn aarelum chodichaal ad madhuraraaja aanenn paranjeer,Positive ,2
259,Etu lucifere polichu adukum Raja return daa,Positive ,2
260,Ikka muthanu prayam koodunthorum kooduthal monjan,Positive ,2
261,Oru 100cr koody njnga Ing aduthu,Positive ,2
262,Ethu powlikkum maduraraja yum puliyum myrumonnumalla nammukke vendate immatiri items aane,Negative ,0
263,100 o 200 crore club il keeriyillelum padam super aayal mathi naangalkk Love you Ikka Love you Laletta,Positive ,2
264,Malayalathinte swandham lalettanu all kerala dulquar salman fansinte vijayasamshagal,Positive ,2
265,Endo aa dilouge delivery endo pole,Mixed_feelings ,1
266,Odiyanil poya pratheeksha luciferin thannekkua Etta minnichekkane,Positive ,2
267,Ini aaanu kali trailer kalakki above expectations,Positive ,2
268,Marana maasss feeel trailer Padathinum ad kittiyal polikum,Positive ,2
269,Trailer erengunenu mumb 5 2k dislike adichavanmark ente naduviral namaskaram,Negative ,0
270,Pulimurugan pole thane und set onnu Matti pidikarnnu,Mixed_feelings ,1
271,Poojapura mohanan fans moonchi ൊ,Negative ,0
272,OVER HYPE KODUTH EE OOLA PADATINU VENDI TALLIYA ELLA OOMBANMARAYA LALAPPAN FANSINTE KARANAKUTTIK NOKI ONN POTTIKAN TONUNNAVAR LIKE EDUKA,Negative ,0
273,Enna njan oru kaaryam parayatte ee padam pottum odiyan avashtha aavum mark my words,Negative ,0
274,Kandittum kandittum madhiyaavunnillallo deyvame Ente laletta ningal star alla oru GALAXY aanu,Positive ,2
275,Njan poye kanan mammookkaye al wahdha MALL njan kandu,Positive ,2
276,Ee like button oru thavanaye adikkaan pattu allee,Positive ,2
277,2 7k unlike adicha pengalepanni makkalkku ente naduviral namaskaram,Negative ,0
278,Trailer oru spark aakunnilla But still waiting,Mixed_feelings ,1
279,Ethinokke dislike adikkunnavar aan malayala cinimayuday shapam face palm face palm ‍,Negative ,0
280,vijaricha Pola allallo kidu analla,Positive ,2
281,Mass kola masssss Tovino polichadukiiiii Tovino uyirr annuu,Positive ,2
282,Annyaayam ROMANJAM ikkaaaaaaaa,Positive ,2
283,Sunny chechinte song kelkkan waiting,Positive ,2
284,John Abraham Palakkal Marana Mass Mammookka,Positive ,2
285,Adichu makkale 10M Epozhm trailer kanunnavar undo,Positive ,2
286,within 3hrs 212k views,Negative ,0
287,Oru aradhakan avanayi oru katha menanju Aradhakan stronganekill avan double strong anu,Positive ,2
288,All best mammokka Team mamangam Mammokka fans like the horns sign of the horns the horns sign of the horns,Positive ,2
289,Wowww Amazing Katta waiting Ikka and unni Super,Positive ,2
290,Atom bomb,Negative ,0
291,Mammokka ponnikka happy birthday love you,Positive ,2
292,Lalettan annum innum ennum mollywood raja,Positive ,2
293,ingeru karanam abhimanikkam oroo malayalikkum,Positive ,2
294,Ithu Tamil movie ah illa Malayalam movie ah Mostly Tamil dialogue in Malayalam slang P,Mixed_feelings ,1
295,Oru rekshayum illa makkale poliiiii action scenes,Positive ,2
296,Ith arabikkadalinte simhamalla Hippo Pottamaas Kunjali marakkare Baahubali dressokke itt priyadarshan abhamanikkunnu Cashing vendi charithrathe Valachodikkunnu,Negative ,0
297,Trailer kanditt padam hit aanenn thonnunnu,Positive ,2
298,Nta daivamme Ponnu laletta ningal muthannu,Positive ,2
299,Vere level love you laletta star struck star struck grinning face with star eyes star struck star struck grinning face with star eyes,Positive ,2
300,Mollywood stylish aavanmenkil namude ikka tanne varanam mega star,Positive ,2
301,simha thailvaaaaaaaa ie pravasham double strongalla triple strong raja solunathdanda seyuve seyunate mathram soluve mammmoookkaa polikkum,Positive ,2
302,Kashtapettu Unlike cheyyunnavar aaruda fans ennathinu samsayamilla iniyatra unlike adichalum avarkariyam Padam records bedikumennu,Negative ,0
303,Saleem Kumarinu old look Pokkiri Rajayile look aayirunnu kooduthal chercha,Mixed_feelings ,1
304,Manju ival ithilum ondooo naasham apo ee padavum njjn kaanunnilaa,Negative ,0
305,Ith orumathiri thelungu padam pole undallo,Mixed_feelings ,1
306,Ndh kadippada 13k dislike adichavark Nallath kanda nallathenne parayanm Atra chorinnindanki valla mullu murikinm ker myrole,Positive ,2
307,dislike adicha 9 5 k dislikeolikalkkulla adi kodukkanulla nool,Negative ,0
308,Kurch colour koodi poyo ennoru samshayam,Mixed_feelings ,1
309,Charithra cinema cheyyan annum innum mammukkaye vellan oruthanum illa Kidiloski trailer,Positive ,2
310,ithu pwolikkum sudaani from nigeria movie eavdokyo manasil oodi vannu,Positive ,2
311,Good luck ikka from lalattan fan,Mixed_feelings ,1
312,Trailer yethra pravashyam kandenn yenikkane ariyilla,Positive ,2
313,Enna lookanu ikka U r the best,Positive ,2
314,Ikka ki jai powli trailer onum parayan ella super masss,Positive ,2
315,Oru raksha yil Laleetan polichuuu rajuettan nega vare level annuuuu,Positive ,2
316,Happy New Year LalettaCinema kanduketto Love u,Positive ,2
317,SaMbaVaM KiduKki FiGht Parappich Parappich ThElUng kadakkuo thinking face thinking face,Mixed_feelings ,1
318,box office nte kaaryathil oru theerumaanamaaay,Positive ,2
319,Tovino machanzz oru rakshayumilla waiting for kalkki,Positive ,2
320,Mamangam oru mamangamaayi thanne kondadum great,Positive ,2
321,aaahaaaa negative comment aayi kure pannikal vannallllloooo,Negative ,0
322,Ithu polikkum surajin kodukk oru like,Positive ,2
323,Vedikettu ee vecation Lucifer kondupoyi makkale Lalettan Rajuettan,Positive ,2
324,Chila undertaker toon aduku manakunondu sradhichu kakanaam,Mixed_feelings ,1
325,Aha ithu pulimurugan trailer pole undallo Aghane thonnivar adi like,Mixed_feelings ,1
326,Trailer nte pokku kandattu valya pratheeksha illa nammade george ettans pole,Negative ,0
327,Onnum parayanilla ikka ee role polichadakkum enn sure,Positive ,2
328,Malayala cinemayude range enthanen ariyan erikkunathe ullu MAMANGAM,Positive ,2
329,Poli L,Positive ,2
330,inn poyi padam kandu ufffffff oru rakshayum illa poliii,Positive ,2
331,Cherudaaytt bgm vanno ennoru doubt first,Mixed_feelings ,1
332,Malayala cinemayude Ore oru Rajavu,Positive ,2
333,Story ere kore pidi kitti kazhinju,Mixed_feelings ,1
334,Mass trailer Lalettaaaaa oru rakshayumilla Pwolichu Lalettan muthaanu Prithvi sarikum njettichu Lalettan prithvi Lucifer blockbuster Lalettan ishtam,Positive ,2
335,Itrayum nalla Padam ee oola channelil enthinna ittee,Negative ,0
336,Avasanam oru superman puchu ude mamukka powlikum kude madura rajayum,Positive ,2
337,E trailornu unlike adicha ella oolakalkum,Negative ,0
338,Eee padam ettu nilayil moonchum,Negative ,0
339,pulimurukan trailer ano kanunath thinking face thinking face,Mixed_feelings ,1
340,Trailer kandal ariyam nalla oombiya padam aanunn,Negative ,0
341,lov uuuuuuuuuu etttaaaaaaa romajam vanu chavum,Positive ,2
342,Uff uff uff ijjadi ikaaaaaaaaaaaaa ponnikkkaaaaaaaa,Positive ,2
343,Ithrayum predisha koduthittu adutha odiyan akathirunna mathiyayirunnu zany face grinning face with one large and one small eye zany face grinning face with one large and one small eye,Mixed_feelings ,1
344,Kgf poleyulla padam kanda feel kidilam,Positive ,2
345,enthu myru dailogado ikkayude ketitile athu pole para mo e,Negative ,0
346,Jayasurya MASS Look And super trailer,Positive ,2
347,Kola mass ennu thoniyavar evdea like adiku,Positive ,2
348,nivin pauli annel ithe oru onnonnara Padam ayene,Mixed_feelings ,1
349,Nannayi onnu poliyunna lakshnm unde Thrill maintain cheyan ayillenkil,Negative ,0
350,Supr trailer oru vettame like adikkan pattullu ennoru sankadam athra kidu trlr,Positive ,2
351,Ikkha Mess aanu,Positive ,2
352,Super aakumennu ariyamayirunnu pakshey etu maha maha soooper,Positive ,2
353,Namukkokke telugu action padam ishdamanu ithippo telung padam pole undall the best,Mixed_feelings ,1
354,Onnum parayaanilla kaathirikkunnu Lucifer ney kaanaan Prithvirajj polichuttooo iniyum porattey cinemakal Muralii ingalu muthaanu,Positive ,2
